temp,clouds_all,traffic_volume,day_sin,day_cos
0.760018859,0,0.758755407,0.017037087,0.370590477
0.738173817,0,0.560764616,0,0.5
0.698884174,0,0.463513325,0.017037087,0.629409523
0.668238252,0,0.370029301,0.066987298,0.75
0.643092881,0,0.325101158,0.146446609,0.853553391
0.644035832,0,0.273894237,0.25,0.933012702
0.646550369,0,0.139946979,0.370590477,0.982962913
0.642307088,0,0.076322032,0.5,1
0.638063806,0,0.037812195,0.629409523,0.982962913
0.625176803,0,0.02344077,0.75,0.933012702
0.613547069,0,0.039347007,0.853553391,0.853553391
0.620462046,0,0.097251291,0.933012702,0.75
0.626119755,0,0.345332775,0.982962913,0.629409523
0.622819425,0,0.754709083,1,0.5
0.625176803,0,0.863401702,0.982962913,0.370590477
0.633191891,0,0.719129343,0.933012702,0.25
0.638692441,0,0.638900516,0.853553391,0.146446609
0.646707528,0,0.595786243,0.75,0.066987298
0.684268427,0,0.627040603,0.629409523,0.017037087
0.714128556,0,0.642528254,0.5,0
0.757347163,0,0.604157946,0.370590477,0.017037087
0.788150244,0.08,0.679084694,0.25,0.066987298
0.802137357,0.08,0.707408958,0.146446609,0.146446609
0.802765991,0.08,0.787358728,0.066987298,0.25
0.782178218,0.24,0.685782057,0.017037087,0.370590477
0.764890775,0.24,0.6176922,0,0.5
0.730001572,0.24,0.485558811,0.017037087,0.629409523
0.71035675,0.36,0.395423469,0.066987298,0.75
0.699984284,0.36,0.503557974,0.146446609,0.853553391
0.691183404,0.36,0.32496163,0.25,0.933012702
0.679239353,0.2,0.225198828,0.370590477,0.982962913
0.673110168,0.2,0.150969722,0.5,1
0.663366337,0.2,0.092507325,0.629409523,0.982962913
0.661637592,0.56,0.077159202,0.75,0.933012702
0.647493321,0.56,0.046742012,0.853553391,0.853553391
0.642307088,0.56,0.055671829,0.933012702,0.75
0.640421185,0.24,0.117901493,0.982962913,0.629409523
0.637435172,0.24,0.215152784,1,0.5
0.636020745,0.24,0.33793777,0.982962913,0.370590477
0.640578344,0.2,0.467280592,0.933012702,0.25
0.655351249,0,0.508580996,0.853553391,0.146446609
0.666509508,0,0.554764895,0.75,0.066987298
0.692597831,0,0.602623134,0.629409523,0.017037087
0.752789565,0.12,0.620064183,0.5,0
0.792236366,0.12,0.601088321,0.370590477,0.017037087
0.807952224,0.12,0.582670573,0.25,0.066987298
0.819110482,0,0.592716618,0.146446609,0.146446609
0.858714443,0,0.557555463,0.066987298,0.25
0.799465661,0,0.532161295,0.017037087,0.370590477
0.779820839,0,0.514441189,0,0.5
0.74115983,0,0.463373797,0.017037087,0.629409523
0.710513909,0,0.394028185,0.066987298,0.75
0.697312588,0,0.373098926,0.146446609,0.853553391
0.703441773,0,0.400167434,0.25,0.933012702
0.664780764,0,0.286312265,0.370590477,0.982962913
0.666509508,0.32,0.23454723,0.5,1
0.650007858,0.32,0.092507325,0.629409523,0.982962913
0.642149929,0.32,0.077159202,0.75,0.933012702
0.634292001,0.08,0.041858518,0.853553391,0.853553391
0.626748389,0.08,0.037254081,0.933012702,0.75
0.620462046,0.08,0.060973908,0.982962913,0.629409523
0.615432972,0,0.11120413,1,0.5
0.611504008,0,0.168968885,0.982962913,0.370590477
0.622662266,0,0.264406307,0.933012702,0.25
0.639949709,0,0.365703921,0.853553391,0.146446609
0.683482634,0,0.485419283,0.75,0.066987298
0.743517209,0,0.525882517,0.629409523,0.017037087
0.803551784,0,0.537044789,0.5,0
0.83372623,0,0.548486117,0.370590477,0.017037087
0.837498036,0,0.546253663,0.25,0.066987298
0.839383938,0.08,0.548346589,0.146446609,0.146446609
0.865943737,0.08,0.58908888,0.066987298,0.25
0.820367751,0.08,0.59773964,0.017037087,0.370590477
0.792550684,0,0.534533278,0,0.5
0.735502122,0,0.568996791,0.017037087,0.629409523
0.702970297,0,0.433654249,0.066987298,0.75
0.688668867,0,0.289800474,0.146446609,0.853553391
0.675624705,0,0.189060974,0.25,0.933012702
0.663994971,0,0.117901493,0.370590477,0.982962913
0.664780764,0,0.061252965,0.5,1
0.659594531,0,0.041021348,0.629409523,0.982962913
0.651107968,0,0.021068787,0.75,0.933012702
0.650950809,0,0.031812474,0.853553391,0.853553391
0.615432972,0,0.103111483,0.933012702,0.75
0.635234952,0,0.355239291,0.982962913,0.629409523
0.639006758,0,0.755964839,1,0.5
0.636177904,0,0.83061253,0.982962913,0.370590477
0.650165017,0,0.664155156,0.933012702,0.25
0.666666667,0,0.608901912,0.853553391,0.146446609
0.718528996,0,0.548067532,0.75,0.066987298
0.772748703,0,0.580996233,0.629409523,0.017037087
0.83372623,0,0.59341426,0.5,0
0.857300016,0,0.583926329,0.370590477,0.017037087
0.850385039,0,0.614901632,0.25,0.066987298
0.844884488,0,0.706850844,0.146446609,0.146446609
0.872544397,0,0.892563137,0.066987298,0.25
0.829482948,0,0.823496582,0.017037087,0.370590477
0.804023259,0,0.584903028,0,0.5
0.773377338,0,0.395144412,0.017037087,0.629409523
0.755775578,0,0.285475094,0.066987298,0.75
0.744303002,0.08,0.235663458,0.146446609,0.853553391
0.734402012,0.08,0.180270685,0.25,0.933012702
0.72245796,0.08,0.123761686,0.370590477,0.982962913
0.709413799,0.12,0.083717036,0.5,1
0.699984284,0.12,0.077856844,0.629409523,0.982962913
0.696683954,0.12,0.061950607,0.75,0.933012702
0.691969197,0.44,0.062369192,0.853553391,0.853553391
0.693226466,0.44,0.126273197,0.933012702,0.75
0.693697941,0.44,0.409376308,0.982962913,0.629409523
0.697941223,0.64,0.803125436,1,0.5
0.694640893,0.64,0.849169806,0.982962913,0.370590477
0.687568757,0.64,0.746058323,0.933012702,0.25
0.688983184,0.64,0.677270825,0.853553391,0.146446609
0.699041333,0.64,0.554764895,0.75,0.066987298
0.72245796,0.64,0.570531603,0.629409523,0.017037087
0.761747603,0.64,0.605413702,0.5,0
0.788778878,0.64,0.616575973,0.370590477,0.017037087
0.843155744,0.64,0.703502163,0.25,0.066987298
0.836240767,0.48,0.768243338,0.146446609,0.146446609
0.823982398,0.48,0.846100181,0.066987298,0.25
0.817067421,0.48,0.786382029,0.017037087,0.370590477
0.805752004,0.92,0.567043393,0,0.5
0.783278328,0.92,0.397795451,0.017037087,0.629409523
0.764733616,0.92,0.315194642,0.066987298,0.75
0.744617319,1,0.277382447,0.146446609,0.853553391
0.729844413,1,0.160876238,0.25,0.933012702
0.726072607,1,0.143016604,0.370590477,0.982962913
0.718371837,0.88,0.055950886,0.5,1
0.715228666,0.88,0.028045207,0.629409523,0.982962913
0.685525695,0.88,0.018138691,0.75,0.933012702
0.675939022,0.92,0.028324264,0.853553391,0.853553391
0.676724815,0.92,0.102832426,0.933012702,0.75
0.749756404,0.92,0.356076462,0.982962913,0.629409523
0.689234638,0.8,0.74982559,1,0.5
0.689234638,0.8,0.827821962,0.982962913,0.370590477
0.689234638,0.8,0.808706572,0.933012702,0.25
0.680103725,0,0.662201758,0.853553391,0.146446609
0.680103725,0,0.583228687,0.75,0.066987298
0.680103725,0,0.607785684,0.629409523,0.017037087
0.698884174,0,0.623412865,0.5,0
0.698884174,0,0.608901912,0.370590477,0.017037087
0.698884174,0,0.674759314,0.25,0.066987298
0.713248468,0,0.731407841,0.146446609,0.146446609
0.713248468,0,0.808148458,0.066987298,0.25
0.713248468,0,0.777731268,0.017037087,0.370590477
0.675640421,0,0.573880285,0,0.5
0.675640421,0,0.436723873,0.017037087,0.629409523
0.675640421,0,0.349658155,0.066987298,0.75
0.637796637,0,0.326915027,0.146446609,0.853553391
0.637796637,0,0.247383843,0.25,0.933012702
0.637796637,0,0.278638203,0.370590477,0.982962913
0.618026088,0,0.074787219,0.5,1
0.618026088,0,0.044090973,0.629409523,0.982962913
0.601115826,0,0.022464071,0.75,0.933012702
0.601115826,0,0.029440491,0.853553391,0.853553391
0.601115826,0,0.100041859,0.933012702,0.75
0.576787679,0,0.361518069,0.982962913,0.629409523
0.576787679,0,0.775080229,1,0.5
0.576787679,0,0.845123483,0.982962913,0.370590477
0.638236681,0.36,0.778707967,0.933012702,0.25
0.637890932,0,0.636109948,0.853553391,0.146446609
0.637890932,0,0.58992605,0.75,0.066987298
0.637890932,0,0.602483605,0.629409523,0.017037087
0.689627534,0,0.609739082,0.5,0
0.689627534,0,0.620761825,0.370590477,0.017037087
0.703347478,0.56,0.640574857,0.25,0.066987298
0.703347478,0.56,0.696665271,0.146446609,0.146446609
0.703347478,0.56,0.807311288,0.066987298,0.25
0.703347478,0.56,0.746616436,0.017037087,0.370590477
0.671522867,0.48,0.578763778,0,0.5
0.671522867,0.48,0.416073671,0.017037087,0.629409523
0.636586516,0.92,0.375191852,0.066987298,0.75
0.636586516,0.92,0.351192968,0.146446609,0.853553391
