Date,Exchange Rate
Jan-73,301.93
Feb-73,279.48
Mar-73,265.26
Apr-73,265.52
May-73,264.73
Jun-73,264.7
Jul-73,264.41
Aug-73,265.11
Sep-73,265.49
Oct-73,266.32
Nov-73,277.05
Dec-73,280
Jan-74,298.64
Feb-74,291.24
Mar-74,282.58
Apr-74,277.78
May-74,278.93
Jun-74,283.05
Jul-74,290.91
Aug-74,302.22
Sep-74,299.63
Oct-74,299.48
Nov-74,300.1
Dec-74,300.44
Jan-75,299.64
Feb-75,292.17
Mar-75,288.03
Apr-75,292.12
May-75,291.47
Jun-75,293.57
Jul-75,296.22
Aug-75,297.93
Sep-75,299.68
Oct-75,302.38
Nov-75,302.53
Dec-75,305.7
Jan-76,304.66
Feb-76,301.9
Mar-76,300.6
Apr-76,299.1
May-76,299.06
Jun-76,299.4
Jul-76,294.77
Aug-76,290.77
Sep-76,287.58
Oct-76,290.99
Nov-76,295.09
Dec-76,294.65
Jan-77,290.94
Feb-77,285.22
Mar-77,280.41
Apr-77,275.14
May-77,277.53
Jun-77,272.97
Jul-77,264.9
Aug-77,266.63
Sep-77,266.95
Oct-77,255.32
Nov-77,244.7
Dec-77,241.28
Jan-78,241.21
Feb-78,240.31
Mar-78,231.42
Apr-78,221.61
May-78,226.34
Jun-78,214.38
Jul-78,199.95
Aug-78,188.5
Sep-78,190.16
Oct-78,183.95
Nov-78,191.33
Dec-78,196.12
Jan-79,197.78
Feb-79,200.53
Mar-79,206.21
Apr-79,215.83
May-79,218.14
Jun-79,218.85
Jul-79,216.44
Aug-79,217.9
Sep-79,222.22
Oct-79,230.36
Nov-79,244.86
Dec-79,240.65
Jan-80,237.73
Feb-80,244.07
Mar-80,248.61
Apr-80,251.45
May-80,228.06
Jun-80,218.11
Jul-80,220.91
Aug-80,224.34
Sep-80,214.95
Oct-80,209.21
Nov-80,212.99
Dec-80,209.79
Jan-81,202.19
Feb-81,205.76
Mar-81,208.84
Apr-81,215.07
May-81,220.78
Jun-81,224.21
Jul-81,232.11
Aug-81,233.62
Sep-81,229.83
Oct-81,231.4
Nov-81,223.76
Dec-81,219.02
Jan-82,224.55
Feb-82,235.25
Mar-82,240.64
Apr-82,244.9
May-82,236.97
Jun-82,251.11
Jul-82,255.1
Aug-82,258.67
Sep-82,262.74
Oct-82,271.33
Nov-82,265.02
Dec-82,242.49
Jan-83,232.9
Feb-83,236.27
