Date,Exchange Rate
1973/1/31,301.93
1973/2/28,279.48
1973/3/31,265.26
1973/4/30,265.52
1973/5/31,264.73
1973/6/30,264.7
1973/7/31,264.41
1973/8/31,265.11
1973/9/30,265.49
1973/10/31,266.32
1973/11/30,277.05
1973/12/31,280
1974/1/31,298.64
1974/2/28,291.24
1974/3/31,282.58
1974/4/30,277.78
1974/5/31,278.93
1974/6/30,283.05
1974/7/31,290.91
1974/8/31,302.22
1974/9/30,299.63
1974/10/31,299.48
1974/11/30,300.1
1974/12/31,300.44
1975/1/31,299.64
1975/2/28,292.17
1975/3/31,288.03
1975/4/30,292.12
1975/5/31,291.47
1975/6/30,293.57
1975/7/31,296.22
1975/8/31,297.93
1975/9/30,299.68
1975/10/31,302.38
1975/11/30,302.53
1975/12/31,305.7
1976/1/31,304.66
1976/2/29,301.9
1976/3/31,300.6
1976/4/30,299.1
1976/5/31,299.06
1976/6/30,299.4
1976/7/31,294.77
1976/8/31,290.77
1976/9/30,287.58
1976/10/31,290.99
1976/11/30,295.09
1976/12/31,294.65
1977/1/31,290.94
1977/2/28,285.22
1977/3/31,280.41
1977/4/30,275.14
1977/5/31,277.53
1977/6/30,272.97
1977/7/31,264.9
1977/8/31,266.63
1977/9/30,266.95
1977/10/31,255.32
1977/11/30,244.7
1977/12/31,241.28
1978/1/31,241.21
1978/2/28,240.31
1978/3/31,231.42
1978/4/30,221.61
1978/5/31,226.34
1978/6/30,214.38
1978/7/31,199.95
1978/8/31,188.5
1978/9/30,190.16
1978/10/31,183.95
1978/11/30,191.33
1978/12/31,196.12
1979/1/31,197.78
1979/2/28,200.53
1979/3/31,206.21
1979/4/30,215.83
1979/5/31,218.14
1979/6/30,218.85
1979/7/31,216.44
1979/8/31,217.9
1979/9/30,222.22
1979/10/31,230.36
1979/11/30,244.86
1979/12/31,240.65
1980/1/31,237.73
1980/2/29,244.07
1980/3/31,248.61
1980/4/30,251.45
1980/5/31,228.06
1980/6/30,218.11
1980/7/31,220.91
1980/8/31,224.34
1980/9/30,214.95
1980/10/31,209.21
1980/11/30,212.99
1980/12/31,209.79
1981/1/31,202.19
1981/2/28,205.76
1981/3/31,208.84
1981/4/30,215.07
1981/5/31,220.78
1981/6/30,224.21
1981/7/31,232.11
1981/8/31,233.62
1981/9/30,229.83
1981/10/31,231.4
1981/11/30,223.76
1981/12/31,219.02
1982/1/31,224.55
1982/2/28,235.25
1982/3/31,240.64
1982/4/30,244.9
1982/5/31,236.97
1982/6/30,251.11
1982/7/31,255.1
1982/8/31,258.67
1982/9/30,262.74
1982/10/31,271.33
1982/11/30,265.02
1982/12/31,242.49
1983/1/31,232.9
1983/2/28,236.27
1983/3/31,237.92
1983/4/30,237.7
1983/5/31,234.78
1983/6/30,240.06
1983/7/31,240.49
1983/8/31,244.36
1983/9/30,242.71
1983/10/31,233
1983/11/30,235.25
1983/12/31,234.34
1984/1/31,233.95
1984/2/29,233.67
1984/3/31,225.52
1984/4/30,224.95
1984/5/31,230.67
1984/6/30,233.29
1984/7/31,242.72
1984/8/31,242.24
1984/9/30,245.19
1984/10/31,246.89
1984/11/30,243.29
1984/12/31,247.96
1985/1/31,254.11
1985/2/28,260.34
1985/3/31,258.43
1985/4/30,251.67
1985/5/31,251.57
1985/6/30,248.95
1985/7/31,241.7
1985/8/31,237.2
1985/9/30,236.91
1985/10/31,214.84
1985/11/30,203.85
1985/12/31,202.75
1986/1/31,200.05
1986/2/28,184.62
1986/3/31,178.83
1986/4/30,175.56
1986/5/31,166.89
1986/6/30,167.82
1986/7/31,158.65
1986/8/31,154.11
1986/9/30,154.78
1986/10/31,156.04
1986/11/30,162.72
1986/12/31,162.13
1987/1/31,154.48
1987/2/28,153.49
1987/3/31,151.56
1987/4/30,142.96
1987/5/31,140.47
1987/6/30,144.52
1987/7/31,150.2
1987/8/31,147.57
1987/9/30,143.03
1987/10/31,143.48
1987/11/30,135.25
1987/12/31,128.25
1988/1/31,127.44
1988/2/29,129.26
1988/3/31,127.23
1988/4/30,124.88
1988/5/31,124.74
1988/6/30,127.2
1988/7/31,133.1
1988/8/31,133.63
1988/9/30,134.45
1988/10/31,128.85
1988/11/30,123.16
1988/12/31,123.63
1989/1/31,127.24
1989/2/28,127.77
1989/3/31,130.35
1989/4/30,132.01
1989/5/31,138.4
1989/6/30,143.92
1989/7/31,140.63
1989/8/31,141.2
1989/9/30,145.06
