PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,WSPM,day_sin,day_cos,Twoday_sin,Twoday_cos,Week_sin,Week_cos
118.0,147.0,58.0,100.0,2000.0,2.0,-5.0,1021.0,-17.2,0.7,-0.25881904509781317,-0.9659258262903296,-0.9914448613741285,0.13052619221763562,0.9825664732331588,0.18591160716359867
137.0,179.0,63.0,101.0,2100.0,2.0,-6.0,1018.0,-14.3,0.7,-0.49999999999120853,-0.8660254037895144,-0.965925826290382,0.25881904509761794,0.9888308262252222,0.14904226617555283
141.0,215.0,59.0,100.0,2300.0,2.0,-7.0,1016.0,-15.9,0.4,-0.7071067811859271,-0.707106781187168,-0.9238795325114546,0.38268343236468444,0.9937122098932576,0.1119644761031742
136.0,158.0,65.0,106.0,3000.0,2.0,-7.0,1016.0,-12.7,0.4,-0.866025403781361,-0.5000000000053306,-0.8660254037859775,0.4999999999973347,0.9972037971811533,0.07473009358678287
132.0,163.0,56.0,107.0,3000.0,2.0,-6.0,1014.0,-16.9,1.1,-0.9659258262861091,-0.25881904511356435,-0.7933533402947153,0.6087614290041854,0.9993007047883666,0.03739119427717877
148.0,181.0,66.0,113.0,3800.0,2.0,-6.0,1019.0,-16.9,1.0,-1.0,-2.1591365463272176e-12,-0.7071067811873109,0.7071067811857842,1.0,-4.711188091871931e-13
178.0,222.0,87.0,119.0,4800.0,2.0,-5.0,1013.0,-16.8,1.2,-0.9659258262909931,0.25881904509533715,-0.6087614290116707,0.7933533402889715,0.9993007047883994,-0.03739119427630263
177.0,209.0,76.0,115.0,4500.0,2.0,-5.0,1014.0,-16.8,1.6,-0.8660254037907961,0.4999999999889886,-0.5000000000055057,0.8660254037812599,0.9972037971812188,-0.07473009358590857
180.0,218.0,79.0,109.0,4500.0,2.0,-4.0,1012.0,-16.6,1.6,-0.7071067811889805,0.7071067811841145,-0.38268343236667923,0.9238795325106284,0.9937122098933558,-0.11196447610230296
171.0,217.0,79.0,107.0,4500.0,2.0,-4.0,1011.0,-17.2,1.7,-0.5000000000075506,0.8660254037800793,-0.25881904510673154,0.96592582628794,0.9888308262250818,-0.14904226617648456
162.0,202.0,93.0,99.0,4000.0,2.0,-4.0,1014.0,-16.9,1.8,-0.2588190451019843,0.965925826289212,-0.13052619221977627,0.9914448613738467,0.9825664732333218,-0.18591160716273722
152.0,200.0,99.0,95.0,3900.0,2.0,-4.0,1013.0,-16.3,1.7,-4.722480697921737e-12,1.0,-2.3612403489608684e-12,1.0,0.9749279121819737,-0.22252093395565667
147.0,194.0,97.0,95.0,3800.0,2.0,-1.0,1012.0,-14.9,2.0,0.2588190450928612,0.9659258262916566,0.1305261922150942,0.9914448613744631,0.9659258262889,-0.25881904510314885
139.0,176.0,92.0,96.0,3300.0,2.0,0.0,1009.0,-16.4,0.9,0.499999999999371,0.8660254037848018,0.25881904510216996,0.9659258262891622,0.9555728057860947,-0.29475517441105337
145.0,181.0,94.0,102.0,3200.0,2.0,1.0,1010.0,-16.4,0.8,0.707106781182302,0.7071067811907931,0.3826834323623162,0.9238795325124356,0.9438833303084792,-0.330279061954848
168.0,195.0,93.0,108.0,3100.0,3.0,3.0,1007.0,-16.2,1.0,0.8660254037787977,0.5000000000097705,0.49999999999511474,0.8660254037872591,0.9308737486445082,-0.3653410243656204
167.0,193.0,83.0,112.0,2800.0,7.0,3.0,1006.0,-17.3,0.9,0.9659258262885486,0.2588190451044603,0.6087614290079242,0.7933533402918463,0.9165622558697791,-0.39989202432019255
161.0,191.0,78.0,122.0,2900.0,2.0,4.0,1010.0,-16.4,0.7,1.0,7.285824849516255e-12,0.7071067811839716,0.7071067811891234,0.9009688679024197,-0.43388373911755684
158.0,182.0,76.0,129.0,2900.0,2.0,3.0,1006.0,-15.7,1.0,0.96592582629232,-0.25881904509038517,0.793353340287411,0.6087614290137043,0.8841153935048414,-0.4672686282726239
158.0,187.0,67.0,135.0,3100.0,2.0,0.0,1010.0,-15.2,0.8,0.8660254037860835,-0.4999999999971511,0.8660254037836163,0.5000000000014244,0.8660254037849334,-0.4999999999991429
154.0,179.0,54.0,134.0,3100.0,2.0,-2.0,1007.0,-12.1,0.6,0.7071067811926056,-0.7071067811804894,0.9238795325096474,0.38268343236904745,0.8467241992281058,-0.5320320765156203
168.0,202.0,67.0,140.0,3800.0,2.0,-4.0,1010.0,-15.0,0.8,0.4999999999993881,-0.866025403784792,0.9659258262891597,0.2588190451021795,0.8262387743160844,-0.5633200580634907
185.0,217.0,83.0,150.0,3700.0,2.0,-5.0,1011.0,-13.4,0.9,0.2588190451069363,-0.9659258262878851,0.9914448613735121,0.13052619222231768,0.8045977797670562,-0.5938201855729762
179.0,210.0,68.0,145.0,3800.0,2.0,-5.0,1009.0,-13.6,0.2,9.849169001110775e-12,-1.0,1.0,4.924584500555387e-12,0.7818314824676109,-0.6234898018592587
176.0,202.0,60.0,139.0,3800.0,2.0,-6.0,1011.0,-13.2,0.4,-0.25881904510196524,-0.9659258262892172,0.9914448613738479,-0.1305261922197665,0.7579717231453371,-0.6522874112782558
182.0,218.0,67.0,141.0,3800.0,2.0,-7.0,1006.0,-12.3,0.7,-0.49999999999493117,-0.8660254037873651,0.9659258262898257,-0.258819045099694,0.7330518718300415,-0.6801727377706874
238.0,278.0,103.0,157.0,5600.0,2.0,-4.0,1011.0,-13.7,1.5,-0.7071067811786769,-0.7071067811944182,0.9238795325134166,-0.382683432359948,0.7071067811871207,-0.7071067811859744
302.0,354.0,154.0,166.0,7000.0,2.0,-4.0,1007.0,-15.0,1.3,-0.8660254037835102,-0.500000000001608,0.8660254037849028,-0.499999999999196,0.6801727377705423,-0.7330518718301762
319.0,356.0,161.0,160.0,7100.0,2.0,-6.0,1011.0,-14.3,1.0,-0.9659258262872217,-0.2588190451094123,0.7933533402934068,-0.6087614290058905,0.6522874112781059,-0.7579717231454661
276.0,313.0,123.0,141.0,6100.0,2.0,-7.0,1012.0,-12.5,0.6,-1.0,-1.2412513152705293e-11,0.707106781190936,-0.7071067811821591,0.6234898018591041,-0.7818314824677344
180.0,180.0,72.0,107.0,3700.0,2.0,-8.0,1011.0,-14.0,0.6,-0.9659258262898806,0.2588190450994892,0.6087614290099655,-0.7933533402902799,0.5938201855742805,-0.8045977797660935
